id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1494820273463332864,1494820273463332864,2022-02-19 05:15:00 IST,2022-02-19,05:15:00,+0530,231692806,jagranenglish,Jagran English,,Union Home Minister @AmitShah said that he would personally ensure that the matter is looked into in detail  #PunjabElections2022    https://t.co/OScqRMAYm2,en,"[{'screen_name': 'amitshah', 'name': 'amit shah', 'id': '1447949844'}]",['https://english.jagran.com/elections/serious-concern-for-national-security-amit-shah-assures-punjab-cm-channi-of-probe-into-aaps-alleged-link-with-sfj-10039648'],[],0,0,0,['punjabelections2022'],[],https://twitter.com/JagranEnglish/status/1494820273463332864,False,,0,,,,,,,,[],,,,
1494804418809659394,1494804418809659394,2022-02-19 04:12:00 IST,2022-02-19,04:12:00,+0530,36327407,httweets,Hindustan Times,,#PunjabElections2022 | A reserved constituency that was named Mehal Kalan after the 2007 Vidhan Sabha polls. It was among the hotbeds of  farm protests  AAP has fielded Kulwant Singh Pandori again from the seat  #ElectionsWithHT -   https://t.co/cNiqzBOhWB  https://t.co/y63FsUNeSs,en,[],['https://www.hindustantimes.com/elections'],['https://pbs.twimg.com/media/FL33zW2aIAAupKb.jpg'],0,1,2,"['punjabelections2022', 'electionswithht']",[],https://twitter.com/htTweets/status/1494804418809659394,False,,1,https://pbs.twimg.com/media/FL33zW2aIAAupKb.jpg,,,,,,,[],,,,
1494800141324333063,1494800141324333063,2022-02-19 03:55:00 IST,2022-02-19,03:55:00,+0530,1907961590,vipulpatel__,Vipul Patel,,So will @TwitterIndia block the twitter account of @ArvindKejriwal who himself accepted that he is a (sweet) terrorist ? @News18India @ZeeNews @aajtak @indiatvnews   #PunjabElections #Punjab_With_Modi #PunjabElections2022,en,"[{'screen_name': 'twitterindia', 'name': 'twitter india', 'id': '103770785'}, {'screen_name': 'arvindkejriwal', 'name': 'arvind kejriwal', 'id': '405427035'}, {'screen_name': 'news18india', 'name': 'news18 india', 'id': '98362607'}, {'screen_name': 'zeenews', 'name': 'zee news', 'id': '461841349'}, {'screen_name': 'aajtak', 'name': 'aajtak', 'id': '42606652'}, {'screen_name': 'indiatvnews', 'name': 'india tv', 'id': '34245009'}]",[],[],0,2,1,"['punjabelections', 'punjab_with_modi', 'punjabelections2022']",[],https://twitter.com/VipulPatel__/status/1494800141324333063,False,,0,,,,,,,,[],,,,
1494798127433273345,1494798127433273345,2022-02-19 03:47:00 IST,2022-02-19,03:47:00,+0530,36327407,httweets,Hindustan Times,,"#PunjabElections2022 | Actor Sonu Sood's sister, Malvika Sood, joined the Congress party days ahead of state elections and party has fielded her from Moga constituency  Voting to take place on Feb 20  #ElectionsWithHT -   https://t.co/cNiqzBOhWB  https://t.co/M7Tis9PMM3",en,[],['https://www.hindustantimes.com/elections'],['https://pbs.twimg.com/media/FL33YoxaAAI0Eh1.jpg'],0,3,3,"['punjabelections2022', 'electionswithht']",[],https://twitter.com/htTweets/status/1494798127433273345,False,,1,https://pbs.twimg.com/media/FL33YoxaAAI0Eh1.jpg,,,,,,,[],,,,
1494795426540638209,1494795426540638209,2022-02-19 03:36:16 IST,2022-02-19,03:36:16,+0530,1116027161033314304,huby10165521,Deepak Pasricha 🇮🇳🏹,,This picture is enough to speak about #PunjabElections2022  #KejriwalVsAll  https://t.co/TmQagOvdwJ,en,[],[],['https://pbs.twimg.com/media/FL6Ug1ZVgAEHJkR.jpg'],0,0,0,"['punjabelections2022', 'kejriwalvsall']",[],https://twitter.com/Huby10165521/status/1494795426540638209,False,,1,https://pbs.twimg.com/media/FL6Ug1ZVgAEHJkR.jpg,,,,,,,[],,,,
1494793191132114946,1494793191132114946,2022-02-19 03:27:23 IST,2022-02-19,03:27:23,+0530,413788756,brarh3m,HBrar,,This is such a shame that you are using Kisan Ekta Morcha page for such dirty politics @INCIndia @INCPunjab   You are misleading the voters by masquerading as farmer leaders &amp; targeting @AamAadmiParty @AAPPunjab   Dirtiest conspiracy ever.  #PunjabElections2022,en,"[{'screen_name': 'incindia', 'name': 'congress', 'id': '1153045459'}, {'screen_name': 'incpunjab', 'name': 'punjab congress', 'id': '2940723738'}, {'screen_name': 'aamaadmiparty', 'name': 'aap', 'id': '711694309'}, {'screen_name': 'aappunjab', 'name': 'aap punjab', 'id': '3320822658'}]",[],[],2,6,9,['punjabelections2022'],[],https://twitter.com/BrarH3M/status/1494793191132114946,False,https://twitter.com/PunYaab/status/1494763673692213248,0,,,,,,,,[],,,,
1494793053361811457,1494792686582525952,2022-02-19 03:26:50 IST,2022-02-19,03:26:50,+0530,120520987,mesushovan,Sushovan Chaudhuri #DestroyTheAadhaar,,"As #Hindutva card is not working in #UttarPradeshElections2022, there is no hope for BJP in Uttar Pradesh.  So, now the Bhagwa Terror might be felt in Punjab, to build a ""false narrative"" in light of ""national security"" from #PunjabElections2022, equating Modi with Nation.  2/2",en,[],[],[],0,0,0,"['hindutva', 'uttarpradeshelections2022', 'punjabelections2022']",[],https://twitter.com/mesushovan/status/1494793053361811457,False,,0,,,,,,,,[],,,,
1494791836065583106,1494791836065583106,2022-02-19 03:22:00 IST,2022-02-19,03:22:00,+0530,36327407,httweets,Hindustan Times,,"#PunjabElections2022 | Former CM Harcharan Singh Brar’s daughter-in-law Karan Kaur is in fray, facing a tough challenge from SAD legislator Kanwarjit Singh Rozy Barkandi and AAP’s Jagdeep Singh Kaka Brar  #ElectionsWithHT -   https://t.co/cNiqzBwH53  https://t.co/Sjz1tD14ta",en,[],['https://www.hindustantimes.com/elections'],['https://pbs.twimg.com/media/FL3297OagAEYwUr.jpg'],2,1,9,"['punjabelections2022', 'electionswithht']",[],https://twitter.com/htTweets/status/1494791836065583106,False,,1,https://pbs.twimg.com/media/FL3297OagAEYwUr.jpg,,,,,,,[],,,,
1494790253487525889,1494790253487525889,2022-02-19 03:15:42 IST,2022-02-19,03:15:42,+0530,151360539,deepsanchi,Solja 🕊,,"A Firm Intention &amp; Good governance can make impossible possible. Congress dismissed the work of sewer, drinking water supply to people of Bhalsawa Dairy as undoable, AAP is now doing it on war footing.  #KaamKiRajneeti  #PunjabElections2022  #VoteForAAP   https://t.co/oEzldet0zU",en,[],['https://ekmaukaaapko.com/v/10002166'],[],0,10,9,"['kaamkirajneeti', 'punjabelections2022', 'voteforaap']",[],https://twitter.com/Deepsanchi/status/1494790253487525889,False,,0,,,,,,,,[],,,,
1494789653831974913,1494789653831974913,2022-02-19 03:13:19 IST,2022-02-19,03:13:19,+0530,24641832,dharmaatica,Dharmaatica 🏳️‍🌈 🇨🇦,,"So Sanghi WhatsApp groups are talking of A-B-C sarkar: Akali-BJP-Captain.   Don't know where Sanghis are getting this confidence from, but If #SimranjitSinghMann does ally with the BJP post #PunjabElections2022, it will be a betrayal of the #FarmersProtests.  @iJasOberoi",en,"[{'screen_name': 'ijasoberoi', 'name': 'jas oberoi | ਜੱਸ ਓਬਰੌਏ', 'id': '75497040'}]",[],[],1,0,0,"['simranjitsinghmann', 'punjabelections2022', 'farmersprotests']",[],https://twitter.com/Dharmaatica/status/1494789653831974913,False,,0,,,,,,,,[],,,,
