id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1489837131216584708,1489837131216584708,2022-02-05 11:13:46 IST,2022-02-05,11:13:46,+0530,1447949844,amitshah,Amit Shah,,Anguished to learn about the demise of veteran BJP leader C Janga Reddy Ji. He was one of the two BJP MPs who had won in the 1984 elections. His contribution towards saving the democracy in the 1975 emergency and strengthening BJP can never be forgotten. My condolences. Om Shanti,en,[],[],[],183,1063,4707,[],[],https://twitter.com/AmitShah/status/1489837131216584708,False,,0,,,,,,,,[],,,,
1488741490855936001,1488741490855936001,2022-02-02 10:40:05 IST,2022-02-02,10:40:05,+0530,1447949844,amitshah,Amit Shah,,Budget FY23 to change the scale of India's economy.  My article in @EconomicTimes on PM @narendramodi Ji’s visionary Budget. Here is the link:  https://t.co/hbxdFeYhMm,en,"[{'screen_name': 'economictimes', 'name': 'economic times', 'id': '39743812'}, {'screen_name': 'narendramodi', 'name': 'narendra modi', 'id': '18839785'}]",['https://www.google.com/amp/s/m.economictimes.com/opinion/et-commentary/view-budget-fy23-to-change-scale-of-indias-economy/amp_articleshow/89285137.cms'],[],200,1288,4010,[],[],https://twitter.com/AmitShah/status/1488741490855936001,False,,0,,,,,,,,[],,,,
1488739818679185409,1488739818679185409,2022-02-02 10:33:26 IST,2022-02-02,10:33:26,+0530,1447949844,amitshah,Amit Shah,,PM Shri @narendramodi Ji will address a program on ‘Aatmanirbhar Arthvyavastha’ today at 11 AM. Do watch!  https://t.co/LBvUGr5Ait,en,"[{'screen_name': 'narendramodi', 'name': 'narendra modi', 'id': '18839785'}]",[],['https://pbs.twimg.com/media/FKkQ93taIAMoniX.jpg'],143,1007,4442,[],[],https://twitter.com/AmitShah/status/1488739818679185409,False,,1,https://pbs.twimg.com/media/FKkQ93taIAMoniX.jpg,,,,,,,[],,,,
1488432510753447936,1488432510753447936,2022-02-01 14:12:18 IST,2022-02-01,14:12:18,+0530,1447949844,amitshah,Amit Shah,,The development of the North-eastern region has always been the top priority of the Modi govt. The announcement of the ‘PM Development Initiative’ for the Northeast will go a long way in realising PM Modi’s vision of a prosperous northeast. #AatmanirbharBharatKaBudget,en,[],[],[],115,1159,3555,['aatmanirbharbharatkabudget'],[],https://twitter.com/AmitShah/status/1488432510753447936,False,,0,,,,,,,,[],,,,
1488384848255684609,1488384848255684609,2022-02-01 11:02:55 IST,2022-02-01,11:02:55,+0530,1447949844,amitshah,Amit Shah,,#AatmanirbharBharatKaBudget. Watch live!  https://t.co/Yze49O037D,en,[],['https://twitter.com/i/broadcasts/1BRJjnkavLgJw'],[],137,1420,4192,['aatmanirbharbharatkabudget'],[],https://twitter.com/AmitShah/status/1488384848255684609,False,,0,,,,,,,,[],,,,
1488372585192898564,1488372585192898564,2022-02-01 10:14:11 IST,2022-02-01,10:14:11,+0530,1447949844,amitshah,Amit Shah,,"Wishing a very happy birthday to the Chief Minister of Assam, Shri @himantabiswa Ji. His dedication and zeal to serving the people of Assam are truly remarkable. May Maa Kamakhya bless him with a long and healthy life.",en,"[{'screen_name': 'himantabiswa', 'name': 'himanta biswa sarma', 'id': '131188226'}]",[],[],118,936,4728,[],[],https://twitter.com/AmitShah/status/1488372585192898564,False,,0,,,,,,,,[],,,,
1488368197199753219,1488368197199753219,2022-02-01 09:56:45 IST,2022-02-01,09:56:45,+0530,1447949844,amitshah,Amit Shah,,"On their Raising Day, I extend my greetings to our brave @IndiaCoastGuard personnel and their families.  We salute their unparalleled commitment towards securing Indian coasts, saving human lives at sea and preserving our marine biodiversity.",en,"[{'screen_name': 'indiacoastguard', 'name': 'indian coast guard', 'id': '897819527508926464'}]",[],[],81,812,3163,[],[],https://twitter.com/AmitShah/status/1488368197199753219,False,,0,,,,,,,,[],,,,
1487814362374885377,1487814362374885377,2022-01-30 21:16:00 IST,2022-01-30,21:16:00,+0530,1447949844,amitshah,Amit Shah,,Goa has set an example in Covid vaccination. I congratulate CM @DrPramodPSawant Ji and his government for their tireless efforts towards vaccinating the people of Goa.  https://t.co/UHmtFeYvsJ,en,"[{'screen_name': 'drpramodpsawant', 'name': 'dr. pramod sawant', 'id': '785783685937295360'}]",[],[],114,1001,3264,[],[],https://twitter.com/AmitShah/status/1487814362374885377,False,,1,https://pbs.twimg.com/amplify_video_thumb/1487802634949914628/img/hrWHtZvlrtk0DOM6.jpg,,,,,,,[],,,,
1487811339951112200,1487811339951112200,2022-01-30 21:04:00 IST,2022-01-30,21:04:00,+0530,1447949844,amitshah,Amit Shah,,"In Goa, some political parties promising fake freebies before elections, as they know that they won't get elected and hence they won't have to fulfil them.  These parties cannot form a government here. It is only the BJP that can do so.  https://t.co/vZdJxd7Sqa",en,[],[],[],72,847,2315,[],[],https://twitter.com/AmitShah/status/1487811339951112200,False,,1,https://pbs.twimg.com/amplify_video_thumb/1487802700704071685/img/z-51B5qvpcdemnxU.jpg,,,,,,,[],,,,
1487811088041201664,1487811088041201664,2022-01-30 21:03:00 IST,2022-01-30,21:03:00,+0530,1447949844,amitshah,Amit Shah,,"In 2013-14, during the UPA regime at the Centre, Goa had received just ₹432 crores central funding but PM @narendramodi Ji increased this to ₹2,567 crores in the last budget.  This clearly reflects our commitment towards the welfare of Goa.  https://t.co/v5MnO4Fvxv",en,"[{'screen_name': 'narendramodi', 'name': 'narendra modi', 'id': '18839785'}]",[],[],51,910,2517,[],[],https://twitter.com/AmitShah/status/1487811088041201664,False,,1,https://pbs.twimg.com/amplify_video_thumb/1487802634958667776/img/XWlijbaxR9Rs1BTf.jpg,,,,,,,[],,,,
