id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1494812723963695110,1494812723963695110,2022-02-19 04:45:00 IST,2022-02-19,04:45:00,+0530,284920800,news18dotcom,News18.com,,"#ElectionWithNews18 |  The BJP has fielded sitting MLA Sunil Dutt Dwivedi from #Farrukhabad, and Suman Shakya is the SP candidate.  #UttarPradeshElections2022   https://t.co/KSa2NUnbWW",en,[],['https://www.news18.com/news/politics/know-your-candidates-contestants-from-farrukhabad-assembly-seat-in-elections-2022-4786670.html'],[],0,0,1,"['electionwithnews18', 'farrukhabad', 'uttarpradeshelections2022']",[],https://twitter.com/news18dotcom/status/1494812723963695110,False,,0,,,,,,,,[],,,,
1494797624003776517,1494797624003776517,2022-02-19 03:45:00 IST,2022-02-19,03:45:00,+0530,284920800,news18dotcom,News18.com,,"#ElectionWithNews18 |  The Samajwadi Party has fielded Rajkumar alias Raju Yadav from the family bastion of #Mainpuri, while the BJP has put up Jayveer Singh as its challenger.  #UttarPradeshElections2022   https://t.co/QEXpTWNe93",en,[],['https://www.news18.com/news/politics/know-your-candidates-contestants-from-mainpuri-assembly-seat-in-elections-2022-4786493.html'],[],0,0,0,"['electionwithnews18', 'mainpuri', 'uttarpradeshelections2022']",[],https://twitter.com/news18dotcom/status/1494797624003776517,False,,0,,,,,,,,[],,,,
1494793053361811457,1494792686582525952,2022-02-19 03:26:50 IST,2022-02-19,03:26:50,+0530,120520987,mesushovan,Sushovan Chaudhuri #DestroyTheAadhaar,,"As #Hindutva card is not working in #UttarPradeshElections2022, there is no hope for BJP in Uttar Pradesh.  So, now the Bhagwa Terror might be felt in Punjab, to build a ""false narrative"" in light of ""national security"" from #PunjabElections2022, equating Modi with Nation.  2/2",en,[],[],[],0,0,0,"['hindutva', 'uttarpradeshelections2022', 'punjabelections2022']",[],https://twitter.com/mesushovan/status/1494793053361811457,False,,0,,,,,,,,[],,,,
1494788917551575040,1494788914053525504,2022-02-19 03:10:24 IST,2022-02-19,03:10:24,+0530,120520987,mesushovan,Sushovan Chaudhuri #DestroyTheAadhaar,,"In short, the organiser of Dharam (read: Adharam) Sansad has already ""hijacked"" #Hindutva from RSS, so, BJP is now irrelevant to RSS.  As a result, Modi might be eliminated, since BJP awaits a ""humiliating defeat"" #UttarPradeshElections2022 - and it will put RSS in a fix.  2/2",en,[],[],[],0,0,0,"['hindutva', 'uttarpradeshelections2022']",[],https://twitter.com/mesushovan/status/1494788917551575040,False,,0,,,,,,,,[],,,,
1494785998739456001,1494785998739456001,2022-02-19 02:58:48 IST,2022-02-19,02:58:48,+0530,1265082969418539008,desigir01446990,Desi Girl,,This is d #PrimeMinister of a country with over a billion people.. Instead of trying to improve d conditions of d people were millions live on 2$ per day n d head of d state does this👇 #UttarPradeshElections2022 #YogiWillBeBack 😂 #COVID19 #KejriwalVsAll  https://t.co/3zB7dp4YSW,en,[],[],[],0,2,2,"['primeminister', 'uttarpradeshelections2022', 'yogiwillbeback', 'covid19', 'kejriwalvsall']",[],https://twitter.com/DesiGir01446990/status/1494785998739456001,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1493809025842302980/pu/img/9Hs2PxnL4SUMXBZH.jpg,,,,,,,[],,,,
1494756043540566016,1494756043540566016,2022-02-19 00:59:46 IST,2022-02-19,00:59:46,+0530,1306437264164020224,gayatrikgandhi,Gayatri Karan Gandhi,,Jab politicians khud judge bante hai to yehi hota hai this is a tight slap on UP govt's tyranny #yogiji #UPgovt #UP #UttarPradeshElections2022   https://t.co/FTMqRpfbYf,en,[],['https://www.boomlive.in/law/supreme-court-uttar-pradesh-government-anti-caa-protestors-16804'],[],0,0,0,"['yogiji', 'upgovt', 'up', 'uttarpradeshelections2022']",[],https://twitter.com/gayatrikgandhi/status/1494756043540566016,False,,0,,,,,,,,[],,,,
1494752494500519936,1494752494500519936,2022-02-19 00:45:40 IST,2022-02-19,00:45:40,+0530,136994305,bhhatu,Bonkers 😎,,"Tomorrow Prayagraj Scenes !!  Smt Priyanka Chaturvedi will create history !!  Just heard people overbooked flights, trains and cab and they are reaching to witness massive roadshow..  #Prayagraj #UttarPradeshElections2022 #AkhileshYadav #YogiAdityanath #shivsena #UttarPradesh",en,[],[],[],0,0,1,"['prayagraj', 'uttarpradeshelections2022', 'akhileshyadav', 'yogiadityanath', 'shivsena', 'uttarpradesh']",[],https://twitter.com/bhhatu/status/1494752494500519936,False,https://twitter.com/priyankac19/status/1494678749668732930,0,,,,,,,,[],,,,
1494748939072917504,1494748939072917504,2022-02-19 00:31:32 IST,2022-02-19,00:31:32,+0530,25519939,syedrafi,Syed Rafi - నేను తెలుగు 'వాడి'ని.,,#PunjabElections &amp; #UttarPradeshElections2022   We can not forget this.  This Elderly Farmer was Brutally Attacked during #FarmersProtest.  BJP Leaders &amp; Supporters Celebrated the Attacks on our protesting farmers.  https://t.co/67qSA3V3aV,en,[],[],['https://pbs.twimg.com/media/FL5qPQbaAAAYr4b.jpg'],0,0,2,"['punjabelections', 'uttarpradeshelections2022', 'farmersprotest']",[],https://twitter.com/syedrafi/status/1494748939072917504,False,,1,https://pbs.twimg.com/media/FL5qPQbaAAAYr4b.jpg,,,,,,,[],,,,
1494746413825392640,1494746413825392640,2022-02-19 00:21:30 IST,2022-02-19,00:21:30,+0530,1492173156282662912,amintrovertguy,Introvert🇮🇳,,Out of all the bjp leaders tonti chor got yogi as oppenent 😂😂😂  #UttarPradeshElections2022,en,[],[],[],0,0,1,['uttarpradeshelections2022'],[],https://twitter.com/amIntrovertguy/status/1494746413825392640,False,,0,,,,,,,,[],,,,
1494743781802868738,1494743781802868738,2022-02-19 00:11:03 IST,2022-02-19,00:11:03,+0530,37034483,ndtv,NDTV,,"#TheBigFight | BJP-SP supporters face off over #UttarPradesh government's job claims, ahead of the February 23 polling  #ElectionswithNDTV #UttarPradeshElections2022  https://t.co/X0vLKLh2sD",en,[],[],[],5,19,88,"['thebigfight', 'uttarpradesh', 'electionswithndtv', 'uttarpradeshelections2022']",[],https://twitter.com/ndtv/status/1494743781802868738,False,,1,https://pbs.twimg.com/amplify_video_thumb/1494736222903693315/img/ZxHBOgaPIea1-d-Z.jpg,,,,,,,[],,,,
