id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1494824007627337728,1494707331740831746,2022-02-19 05:29:50 IST,2022-02-19,05:29:50,+0530,3125400740,gaubaman,HolySpider,,"@LucknowIPL @myogiadityanath @GautamGambhir The Bat should have been ORANGE colored, next time...pay attention.",en,[],[],[],0,0,0,[],[],https://twitter.com/GaubaMan/status/1494824007627337728,False,,0,,,,,,,,"[{'screen_name': 'LucknowIPL', 'name': 'Lucknow Super Giants', 'id': '4824087681'}, {'screen_name': 'myogiadityanath', 'name': 'Yogi Adityanath', 'id': '3437532637'}, {'screen_name': 'GautamGambhir', 'name': 'Gautam Gambhir', 'id': '99448420'}]",,,,
1494823780191211522,1494722860191186944,2022-02-19 05:28:56 IST,2022-02-19,05:28:56,+0530,975623151764852736,tunkthakuri,tunk bahadur thakuri,,"@myogiadityanath @GautamGambhir @LucknowIPL Could you,go,at your mother home or not.",en,[],[],[],0,0,0,[],[],https://twitter.com/TunkThakuri/status/1494823780191211522,False,,0,,,,,,,,"[{'screen_name': 'myogiadityanath', 'name': 'Yogi Adityanath', 'id': '3437532637'}, {'screen_name': 'GautamGambhir', 'name': 'Gautam Gambhir', 'id': '99448420'}, {'screen_name': 'LucknowIPL', 'name': 'Lucknow Super Giants', 'id': '4824087681'}]",,,,
1494823566327836676,1494722860191186944,2022-02-19 05:28:05 IST,2022-02-19,05:28:05,+0530,975623151764852736,tunkthakuri,tunk bahadur thakuri,,"@myogiadityanath @GautamGambhir @LucknowIPL Are you trying good,but healthy faithfully nice good to All Hummanbing. Sir.",en,[],[],[],0,0,1,[],[],https://twitter.com/TunkThakuri/status/1494823566327836676,False,,0,,,,,,,,"[{'screen_name': 'myogiadityanath', 'name': 'Yogi Adityanath', 'id': '3437532637'}, {'screen_name': 'GautamGambhir', 'name': 'Gautam Gambhir', 'id': '99448420'}, {'screen_name': 'LucknowIPL', 'name': 'Lucknow Super Giants', 'id': '4824087681'}]",,,,
1494823327478599680,1494820669464272897,2022-02-19 05:27:08 IST,2022-02-19,05:27:08,+0530,18274289,indie_charm,"oh, hello",,@__catpower This makes me angry but also what a great place to be trapped! Endless yogi bear,en,[],[],[],1,0,1,[],[],https://twitter.com/indie_charm/status/1494823327478599680,False,,0,,,,,,,,"[{'screen_name': '__catpower', 'name': 'Polly is a nice name', 'id': '34830700'}]",,,,
1494823256528138241,1494722860191186944,2022-02-19 05:26:51 IST,2022-02-19,05:26:51,+0530,975623151764852736,tunkthakuri,tunk bahadur thakuri,,"@myogiadityanath @GautamGambhir @LucknowIPL Morning, 🌄🌞🌺, diversity sir, morning Diversity sir.",en,[],[],[],0,0,1,[],[],https://twitter.com/TunkThakuri/status/1494823256528138241,False,,0,,,,,,,,"[{'screen_name': 'myogiadityanath', 'name': 'Yogi Adityanath', 'id': '3437532637'}, {'screen_name': 'GautamGambhir', 'name': 'Gautam Gambhir', 'id': '99448420'}, {'screen_name': 'LucknowIPL', 'name': 'Lucknow Super Giants', 'id': '4824087681'}]",,,,
1494822933130366982,1494451605885833217,2022-02-19 05:25:34 IST,2022-02-19,05:25:34,+0530,1009205121148956672,kpower3,K Power,,@Born_the_USA @_yogi_Bear_61 Awesome !!!!!!,en,[],[],[],0,0,1,[],[],https://twitter.com/KPower3/status/1494822933130366982,False,,0,,,,,,,,"[{'screen_name': 'Born_the_USA', 'name': 'Freedom🇺🇸', 'id': '1096880483869196288'}, {'screen_name': '_yogi_Bear_61', 'name': 'InGodWeTrust', 'id': '1348744342123540484'}]",,,,
1494822671439347714,1493787238542426119,2022-02-19 05:24:31 IST,2022-02-19,05:24:31,+0530,1322234099273261062,shaik13855917,Shaik,,@yashthakkar2310 @MeghBulletin Their days are numbered. Wait for March 10. He will be crying like a baby. The kicked me out of CM post kah ke rone legega atanki yogi.  https://t.co/d0Jew4oSeW,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FL6tSuiWQAMdYQY.jpg'],0,0,0,[],[],https://twitter.com/Shaik13855917/status/1494822671439347714,False,,1,https://pbs.twimg.com/tweet_video_thumb/FL6tSuiWQAMdYQY.jpg,,,,,,,"[{'screen_name': 'yashthakkar2310', 'name': 'Yash Thakkar', 'id': '1097094470498172929'}, {'screen_name': 'MeghBulletin', 'name': 'MeghUpdates🚨™', 'id': '155267079'}]",,,,
1494822670277353473,1494796177530834947,2022-02-19 05:24:31 IST,2022-02-19,05:24:31,+0530,354083398,coyote522000,Jonathan,,"@classic_film Joe barbera liked to uh, borrow, shows and characters. Top cat is bilko, quick draw is red skeleton, flintstones are honeymooners, yogi bear is ed norton,  Scooby doo started out using the dobie gillis characters.",en,[],[],[],1,1,4,[],[],https://twitter.com/coyote522000/status/1494822670277353473,False,,0,,,,,,,,"[{'screen_name': 'classic_film', 'name': 'Classic Film TV Cafe', 'id': '290317487'}]",,,,
1494822220325179404,1494649889560711173,2022-02-19 05:22:44 IST,2022-02-19,05:22:44,+0530,338891921,pdahivalkar,prashant d,,@BBCHindi @myogiadityanath  UP govt is quite correct in recovering damages from culprits. Supreme court sometimes gives stupid verdicts. If UP govt follows Supreme court order then such amount should be recovered from the judge who had given this verdict.,en,[],[],[],1,0,0,[],[],https://twitter.com/pdahivalkar/status/1494822220325179404,False,,0,,,,,,,,"[{'screen_name': 'BBCHindi', 'name': 'BBC News Hindi', 'id': '372754427'}]",,,,
1494822209289818114,1494811004571914243,2022-02-19 05:22:41 IST,2022-02-19,05:22:41,+0530,1433517770788900878,apesharma,SharmaL (Kapil USA),,@MSR_Pahadi @myogiadityanath We will record and send the video to Yogi Ji.,en,[],[],[],0,0,1,[],[],https://twitter.com/ApeSharma/status/1494822209289818114,False,,0,,,,,,,,"[{'screen_name': 'MSR_Pahadi', 'name': '🇮🇳 MANISH SINGH RAWAT🚩', 'id': '114730335'}, {'screen_name': 'myogiadityanath', 'name': 'Yogi Adityanath', 'id': '3437532637'}]",,,,
